Proteina,U-statistic,p-value
cysB,6.000000,0.700000
LPU83_1291,3.000000,0.700000
LPU83_1296,5.000000,1.000000
LPU83_1306,8.000000,0.200000
pcm5,3.000000,0.700000
LPU83_2225,4.000000,1.000000
LPU83_1311,8.000000,0.200000
xthA1,1.000000,0.200000
iolD,1.000000,0.200000
nagZ,6.000000,0.700000
LPU83_2235,7.000000,0.400000
tatC,7.000000,0.400000
LPU83_1327,9.000000,0.100000
LPU83_1882,6.000000,0.700000
LPU83_2240,1.000000,0.200000
LPU83_1887,7.000000,0.400000
rpoZ,5.000000,1.000000
gid,4.000000,1.000000
lepB,3.000000,0.700000
tolB1,7.000000,0.400000
recO,3.000000,0.700000
LPU83_1897,5.000000,1.000000
LPU83_1902,0.000000,0.100000
LPU83_1352,1.000000,0.200000
LPU83_1357,8.000000,0.200000
LPU83_1367,1.000000,0.200000
LPU83_1367;LPU83_3481,9.000000,0.100000
LPU83_1923,3.000000,0.700000
LPU83_1372,5.000000,1.000000
cysS,0.000000,0.100000
aat3,4.000000,1.000000
radA,7.000000,0.400000
LPU83_2260,2.000000,0.400000
LPU83_1945,5.000000,1.000000
rplI,3.000000,0.700000
LPU83_1397,7.000000,0.400000
pabC,3.000000,0.700000
LPU83_2265,3.000000,0.700000
LPU83_1407,6.000000,0.700000
LPU83_2270,7.000000,0.400000
pepA,5.000000,1.000000
cckA,6.000000,0.700000
LPU83_pLPU83d_0309;cckA,3.000000,0.700000
LPU83_1417,0.000000,0.100000
uvrC,6.000000,0.700000
LPU83_2290,5.000000,1.000000
LPU83_2300,7.000000,0.400000
LPU83_1442,5.000000,1.000000
LPU83_2305,1.000000,0.200000
LPU83_2310,3.000000,0.700000
LPU83_2320,7.000000,0.400000
LPU83_2017,9.000000,0.100000
LPU83_2325,2.000000,0.400000
expG,2.000000,0.400000
LPU83_2330,5.000000,1.000000
LPU83_2027,8.000000,0.200000
ribD,6.000000,0.700000
nifS,6.000000,0.700000
ribH,2.000000,0.400000
LPU83_2340,3.000000,0.700000
LPU83_1477,4.000000,1.000000
LPU83_2345,7.000000,0.400000
LPU83_2037,4.000000,1.000000
LPU83_1482,6.000000,0.700000
LPU83_2042,7.000000,0.400000
pccB,9.000000,0.100000
LPU83_1488,4.000000,1.000000
LPU83_2047,5.000000,1.000000
gfa,7.000000,0.400000
exoP1,0.000000,0.100000
LPU83_2052,5.000000,1.000000
rne,2.000000,0.400000
LPU83_2057,2.000000,0.400000
glpQ,3.000000,0.700000
ppnK,6.000000,0.700000
celE,5.000000,1.000000
LPU83_2381,2.000000,0.400000
kefA,9.000000,0.100000
LPU83_2391,4.000000,1.000000
LPU83_2077,3.000000,0.700000
hisI,7.000000,0.400000
thrS,2.000000,0.400000
LPU83_2406,5.000000,1.000000
LPU83_2411,4.000000,1.000000
old,4.000000,1.000000
cya5,2.000000,0.400000
trpC,5.000000,1.000000
ecnB,7.000000,0.400000
galE3,5.000000,1.000000
rplJ,3.000000,0.700000
qor5,9.000000,0.100000
LPU83_1572,5.000000,1.000000
LPU83_2447,5.000000,1.000000
cobC,6.000000,0.700000
rpsJ,2.000000,0.400000
glmU,2.000000,0.400000
LPU83_2132,4.000000,1.000000
rpsS,2.000000,0.400000
mfd,1.000000,0.200000
LPU83_2137,8.000000,0.200000
rpsQ,4.000000,1.000000
LPU83_2142,1.000000,0.200000
uvrA,5.000000,1.000000
rpsH,0.000000,0.100000
LPU83_2147,4.000000,1.000000
LPU83_2152,4.000000,1.000000
ppiB,6.000000,0.700000
zur,3.000000,0.700000
rplO,2.000000,0.400000
holB,6.000000,0.700000
dusA,1.000000,0.200000
rpoA,3.000000,0.700000
LPU83_2172,6.000000,0.700000
LPU83_2503,4.000000,1.000000
ilvD,0.000000,0.100000
LPU83_2508,3.000000,0.700000
LPU83_2187,5.000000,1.000000
LPU83_2518,6.000000,0.700000
cobS1,6.000000,0.700000
rpsI,5.000000,1.000000
LPU83_2197,4.000000,1.000000
LPU83_2202,6.000000,0.700000
LPU83_1632,4.000000,1.000000
hflX,7.000000,0.400000
dctA,7.000000,0.400000
dctA,2.000000,0.400000
ntrC,1.000000,0.200000
LPU83_2548,7.000000,0.400000
lonA,5.000000,1.000000
LPU83_1647,5.000000,1.000000
pdhC,1.000000,0.200000
nuoC,3.000000,0.700000
LPU83_1660,3.000000,0.700000
LPU83_2217,1.000000,0.200000
lpxD,5.000000,1.000000
nuoK,5.000000,1.000000
LPU83_2222,6.000000,0.700000
frr,4.000000,1.000000
mobB,9.000000,0.100000
LPU83_1670,8.000000,0.200000
LPU83_2583,5.000000,1.000000
LPU83_2232,3.000000,0.700000
LPU83_1675,8.000000,0.200000
LPU83_2593,5.000000,1.000000
celR1,6.000000,0.700000
nah,5.000000,1.000000
aapP,5.000000,1.000000
rnr,5.000000,1.000000
LPU83_2237,6.000000,0.700000
LPU83_2614,6.000000,0.700000
rpiA,6.000000,0.700000
LPU83_2247,5.000000,1.000000
LPU83_2252,6.000000,0.700000
LPU83_2635,3.000000,0.700000
LPU83_2645,6.000000,0.700000
LPU83_2655,9.000000,0.100000
LPU83_2262,2.000000,0.400000
pdxJ,5.000000,1.000000
maf1,1.000000,0.200000
LPU83_0007,6.000000,0.700000
LPU83_2665,3.000000,0.700000
LPU83_0017,5.000000,1.000000
miaA,2.000000,0.400000
trpA,2.000000,0.400000
hflK,5.000000,1.000000
addB,5.000000,1.000000
LPU83_2685,4.000000,1.000000
LPU83_0032,6.000000,0.700000
dld,1.000000,0.200000
pckA,9.000000,0.100000
LPU83_2695,5.000000,1.000000
hisF,0.000000,0.100000
uvrD,3.000000,0.700000
hslV,4.000000,1.000000
glcB,5.000000,1.000000
helO,5.000000,1.000000
