Proteina,T-statistic,p-value,log2FC
hspAT1;ibpA,-0.35701754775854333,0.7391171052057499,0.12467911016134181
LPU83_3569,-0.5534450353339808,0.6094356634496256,0.03693302446069424
yci,-1.6011729191501605,0.18459392853686843,1.0061376578641976
LPU83_pLPU83d_0066,0.7167406303374348,0.5131564611816154,-0.2558870459740916
LPU83_3580,-0.8881063520887303,0.4246623734036071,0.34845109162464105
LPU83_pLPU83d_0071,-1.880962494957648,0.13313305972006137,0.19730958509687824
tctD,1.2108244707006437,0.2926100536839808,-0.7021814902959562
LPU83_pLPU83c_0642,-0.19759508537734438,0.852996907092263,0.04565675223981103
LPU83_3590,-2.566855835194611,0.06218521599707385,0.3025513539158666
pgm,0.026742602972865404,0.9799460355566646,-0.00131861694604396
soxG,0.08561643751521224,0.935885543458101,-0.010119164984978113
LPU83_pLPU83c_0113,-0.5086805133790684,0.6377494985504206,0.2844678605661741
LPU83_pLPU83d_0096,3.422282273079449,0.02672413223138372,-0.22606168146461414
LPU83_3605,-0.5004335301847224,0.6430505783217,0.03603433204508022
LPU83_pLPU83c_0118,1.3766985727808383,0.24063829616103588,-0.05912616099469048
LPU83_3610,1.69920245703342,0.16450862607881217,-0.16728942135818592
LPU83_pLPU83d_0101,2.8813435050435645,0.04495231744746085,-0.5075268011514105
catI,-0.3685829158906172,0.7311175388350661,0.07956153059993909
pntA,2.1693737996331235,0.0958772929779929,-0.04366709258079382
LPU83_3620,0.13012628355441636,0.9027480465757722,-0.030038357040428565
pcaH,0.13777426812356303,0.897075897614442,-0.02289703409880417
cyaJ,0.3175867702868955,0.7666859307745478,-0.09212727688222344
LPU83_pLPU83d_0121,1.8160956654819522,0.14352672320254506,-0.08479664307249735
LPU83_pLPU83d_0126,1.4305451564714788,0.2257973000255738,-0.22133213726382195
LPU83_pLPU83c_0143,-0.9837998421181534,0.38091255664920926,0.042594483207796685
LPU83_pLPU83d_0131,1.006861873808352,0.37096509011089557,-0.1856675916036803
glxC,3.1029499309813207,0.0361176805529459,-0.18016501121564943
LPU83_pLPU83d_0136,1.1385429303364103,0.31845506103403676,-0.064952401162234
LPU83_3640,1.4047216811716345,0.23279749615295056,-0.2778987015603356
LPU83_pLPU83c_0697,0.8979098588856737,0.4199950940072312,-0.1560405176402
eda,-1.3489932924491932,0.24864650685627562,0.06388317938896648
LPU83_3650,1.0066660498896427,0.37104859434092385,-0.1914510927979194
LPU83_pLPU83c_0702,1.1167088673864838,0.32666817090152406,-0.6312297354597494
LPU83_pLPU83c_0158,-0.5647578726492628,0.6024059938185431,0.0767413759138087
LPU83_pLPU83d_0151,-5.033467769714932,0.007315609063500936,0.1902139536310088
LPU83_pLPU83d_0161,0.45914445249227287,0.6699735035756045,-0.1687017892983853
LPU83_3665,-0.7550198587251516,0.4922554848151118,0.14767490515952275
LPU83_pLPU83d_0176,-1.4047114454194676,0.23280031329119752,0.15477587433768036
cobM,0.6996031268698882,0.5227231704163302,-0.0483705717310805
LPU83_pLPU83c_0188,-0.59841894134097,0.5817976447717071,0.07683802050197386
cobH,-0.12267783916165906,0.9082789673059577,0.005194994026826549
btuE,0.7075952703593515,0.5182456511846397,-0.026622680950485034
LPU83_pLPU83c_0193,1.013226868790632,0.36825982825050807,-0.0679402226605994
LPU83_pLPU83d_0191,0.5733636836037124,0.5970931048804193,-0.1423382617799156
LPU83_pLPU83c_0198,0.8487465312591385,0.44383060725996853,-0.18126942932873114
ribB,3.1540955477562997,0.03437843134790307,-0.249610955164151
LPU83_3690,-0.4512541965953765,0.6751892551798943,0.031132095626347223
actP,0.2681157657982998,0.8018689506421508,-0.05295787928256601
dhaK3,1.171810217323096,0.3063065772496132,-0.07808928365960455
LPU83_3695,-0.387060913456712,0.718422359755533,0.061585584936047155
rbsB3,-0.6921229444628864,0.526939209006031,0.10770130347447804
LPU83_3700,-0.3140234536992615,0.7691988383714186,0.038566863409894125
sorC,-0.48668913131065844,0.6519425437961136,0.01201187629221323
